15.10.2021 16:55:20	, документ=614460833000256518	, товар=614460897000246522	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010463006598741921S/I*2VOQdE%F%91003A92bQewaId0Du3RLl+6oNHSVqvqpm4e+jQMU9u1FHztHbZf9QCySBUPgBA4pbiiUzCYDytwkUmO99IK0pyE5/kolQ==
18.10.2021 11:09:35	, документ=614739936000227259	, товар=614740084000295264	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010463006598741921S/I*2VOQdE%F%91003A92bQewaId0Du3RLl+6oNHSVqvqpm4e+jQMU9u1FHztHbZf9QCySBUPgBA4pbiiUzCYDytwkUmO99IK0pyE5/kolQ==
27.11.2021 17:55:43	, документ=618764288000288401	, товар=618764429000202402	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
28.11.2021 13:15:00	, документ=618847559000251484	, товар=618847571000238485	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
28.11.2021 13:24:49	, документ=618848109000207499	, товар=618848114000299500	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
28.11.2021 13:29:52	, документ=618848478000277515	, товар=618848483000292516	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
28.11.2021 13:46:51	, документ=618849487000242529	, товар=618849496000230530	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
28.11.2021 13:50:52	, документ=618849713000281542	, товар=618849726000250543	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
28.11.2021 14:03:48	, документ=618850450000293563	, товар=618850465000279564	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010460512600488621esVm29mLd7TPC#1D91EE06#1D92tmntxjNCK9rdJIvQkfz+thgLfnSrCpg4qdaoHMWGMgU=
28.11.2021 14:26:34	, документ=618851874000293578	, товар=618851879000266579	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
